User Details
Email,FirstName LastName,DateOfBirth,Gender
john.doe@example.com,John Doe,5/15/1985 12:00:00 AM,Male
User Physique Details
Height,RecentClothesWeight
180,1
User Scan Details
BodyMetricTypeId,Value,CreatedDate
BodyWeight,100.1,1/15/2023 8:15:30 AM
MuscleMass,65.0,1/15/2023 8:15:30 AM
FatMass,29.8,1/15/2023 8:15:30 AM
VisceralFatRating,12,1/15/2023 8:15:30 AM
MetabolicAge,45,1/15/2023 8:15:30 AM
BodyMassIndex,30.9,1/15/2023 8:15:30 AM
Age,40,1/15/2023 8:15:30 AM
Height,180,1/15/2023 8:15:30 AM
BoneMass,3.6,1/15/2023 8:15:30 AM
WaterMass,52.1,1/15/2023 8:15:30 AM
IntraCellularWaterMass,30.1,1/15/2023 8:15:30 AM
BasalMetabolicRatekJ,9255,1/15/2023 8:15:30 AM
MuscleScore,0,1/15/2023 8:15:30 AM
LegMuscleScore,88,1/15/2023 8:15:30 AM
BoditraxScore,720,1/15/2023 8:15:30 AM
BodyWeight,99.8,2/12/2023 8:15:30 AM
MuscleMass,64.9,2/12/2023 8:15:30 AM
FatMass,30.0,2/12/2023 8:15:30 AM
VisceralFatRating,12,2/12/2023 8:15:30 AM
MetabolicAge,45,2/12/2023 8:15:30 AM
BodyMassIndex,30.8,2/12/2023 8:15:30 AM
Age,40,2/12/2023 8:15:30 AM
Height,180,2/12/2023 8:15:30 AM
BoneMass,3.6,2/12/2023 8:15:30 AM
WaterMass,52.1,2/12/2023 8:15:30 AM
IntraCellularWaterMass,30.0,2/12/2023 8:15:30 AM
BasalMetabolicRatekJ,9200,2/12/2023 8:15:30 AM
MuscleScore,0,2/12/2023 8:15:30 AM
LegMuscleScore,88,2/12/2023 8:15:30 AM
BoditraxScore,720,2/12/2023 8:15:30 AM
BodyWeight,100.1,3/12/2023 8:15:30 AM
MuscleMass,65.0,3/12/2023 8:15:30 AM
FatMass,29.9,3/12/2023 8:15:30 AM
VisceralFatRating,12,3/12/2023 8:15:30 AM
MetabolicAge,45,3/12/2023 8:15:30 AM
BodyMassIndex,30.9,3/12/2023 8:15:30 AM
Age,40,3/12/2023 8:15:30 AM
Height,180,3/12/2023 8:15:30 AM
BoneMass,3.6,3/12/2023 8:15:30 AM
WaterMass,52.2,3/12/2023 8:15:30 AM
IntraCellularWaterMass,30.2,3/12/2023 8:15:30 AM
BasalMetabolicRatekJ,9215,3/12/2023 8:15:30 AM
MuscleScore,0,3/12/2023 8:15:30 AM
LegMuscleScore,88,3/12/2023 8:15:30 AM
BoditraxScore,720,3/12/2023 8:15:30 AM
BodyWeight,100.0,4/9/2023 8:15:30 AM
MuscleMass,64.9,4/9/2023 8:15:30 AM
FatMass,30.1,4/9/2023 8:15:30 AM
VisceralFatRating,12,4/9/2023 8:15:30 AM
MetabolicAge,45,4/9/2023 8:15:30 AM
BodyMassIndex,30.9,4/9/2023 8:15:30 AM
Age,40,4/9/2023 8:15:30 AM
Height,180,4/9/2023 8:15:30 AM
BoneMass,3.6,4/9/2023 8:15:30 AM
WaterMass,52.0,4/9/2023 8:15:30 AM
IntraCellularWaterMass,30.2,4/9/2023 8:15:30 AM
BasalMetabolicRatekJ,9289,4/9/2023 8:15:30 AM
MuscleScore,0,4/9/2023 8:15:30 AM
LegMuscleScore,88,4/9/2023 8:15:30 AM
BoditraxScore,720,4/9/2023 8:15:30 AM
BodyWeight,100.1,5/7/2023 8:15:30 AM
MuscleMass,65.0,5/7/2023 8:15:30 AM
FatMass,30.1,5/7/2023 8:15:30 AM
VisceralFatRating,12,5/7/2023 8:15:30 AM
MetabolicAge,45,5/7/2023 8:15:30 AM
BodyMassIndex,30.9,5/7/2023 8:15:30 AM
Age,40,5/7/2023 8:15:30 AM
Height,180,5/7/2023 8:15:30 AM
BoneMass,3.6,5/7/2023 8:15:30 AM
WaterMass,52.0,5/7/2023 8:15:30 AM
IntraCellularWaterMass,30.1,5/7/2023 8:15:30 AM
BasalMetabolicRatekJ,9278,5/7/2023 8:15:30 AM
MuscleScore,0,5/7/2023 8:15:30 AM
LegMuscleScore,88,5/7/2023 8:15:30 AM
BoditraxScore,720,5/7/2023 8:15:30 AM
BodyWeight,100.2,6/4/2023 8:15:30 AM
MuscleMass,65.0,6/4/2023 8:15:30 AM
FatMass,29.9,6/4/2023 8:15:30 AM
VisceralFatRating,12,6/4/2023 8:15:30 AM
MetabolicAge,45,6/4/2023 8:15:30 AM
BodyMassIndex,30.9,6/4/2023 8:15:30 AM
Age,40,6/4/2023 8:15:30 AM
Height,180,6/4/2023 8:15:30 AM
BoneMass,3.6,6/4/2023 8:15:30 AM
WaterMass,52.1,6/4/2023 8:15:30 AM
IntraCellularWaterMass,30.2,6/4/2023 8:15:30 AM
BasalMetabolicRatekJ,9236,6/4/2023 8:15:30 AM
MuscleScore,0,6/4/2023 8:15:30 AM
LegMuscleScore,88,6/4/2023 8:15:30 AM
BoditraxScore,720,6/4/2023 8:15:30 AM
BodyWeight,100.1,7/2/2023 8:15:30 AM
MuscleMass,65.0,7/2/2023 8:15:30 AM
FatMass,30.0,7/2/2023 8:15:30 AM
VisceralFatRating,12,7/2/2023 8:15:30 AM
MetabolicAge,45,7/2/2023 8:15:30 AM
BodyMassIndex,30.9,7/2/2023 8:15:30 AM
Age,40,7/2/2023 8:15:30 AM
Height,180,7/2/2023 8:15:30 AM
BoneMass,3.6,7/2/2023 8:15:30 AM
WaterMass,52.2,7/2/2023 8:15:30 AM
IntraCellularWaterMass,30.1,7/2/2023 8:15:30 AM
BasalMetabolicRatekJ,9274,7/2/2023 8:15:30 AM
MuscleScore,0,7/2/2023 8:15:30 AM
LegMuscleScore,88,7/2/2023 8:15:30 AM
BoditraxScore,720,7/2/2023 8:15:30 AM
BodyWeight,100.1,7/30/2023 8:15:30 AM
MuscleMass,64.9,7/30/2023 8:15:30 AM
FatMass,29.9,7/30/2023 8:15:30 AM
VisceralFatRating,12,7/30/2023 8:15:30 AM
MetabolicAge,45,7/30/2023 8:15:30 AM
BodyMassIndex,30.9,7/30/2023 8:15:30 AM
Age,40,7/30/2023 8:15:30 AM
Height,180,7/30/2023 8:15:30 AM
BoneMass,3.6,7/30/2023 8:15:30 AM
WaterMass,52.2,7/30/2023 8:15:30 AM
IntraCellularWaterMass,30.2,7/30/2023 8:15:30 AM
BasalMetabolicRatekJ,9231,7/30/2023 8:15:30 AM
MuscleScore,0,7/30/2023 8:15:30 AM
LegMuscleScore,88,7/30/2023 8:15:30 AM
BoditraxScore,720,7/30/2023 8:15:30 AM
BodyWeight,100.2,8/27/2023 8:15:30 AM
MuscleMass,65.1,8/27/2023 8:15:30 AM
FatMass,30.1,8/27/2023 8:15:30 AM
VisceralFatRating,12,8/27/2023 8:15:30 AM
MetabolicAge,45,8/27/2023 8:15:30 AM
BodyMassIndex,30.9,8/27/2023 8:15:30 AM
Age,40,8/27/2023 8:15:30 AM
Height,180,8/27/2023 8:15:30 AM
BoneMass,3.6,8/27/2023 8:15:30 AM
